Name_of_Business	Telephone	Street	Locality	Postcode	Region	Website
The Bowl Full	01522 304048	185 West Parade, 	Lincoln	LN1 1QS	Lincolnshire	#
Ryan's Bar & Usquabae	0131 603 1850	2 Hope Street, 	Edinburgh	EH2 4DB	Wiltshire	#
La Cuina	029 2167 7841	11 Kings Road, 	Cardiff	CF11 9BZ	Surrey	#
Volunteer Inn	01249 471380	 	Chippenham	SN15 5EL	Midlothian	#
21212	020 8398 8585	7 Station Approach, 	Esher	KT10 0SP	Leicestershire	#
Winley's	0845 2221212	3 Royal Terrace, 	Edinburgh	EH7 5AB	West Glamorgan	#
Thai Kitchen	0116 216 5424	The Nook, 	Leicester	LE9 1RQ	Derbyshire	#
Lock & Key Restaurant	01792 343707	87 High St, 	Swansea	SA4 4BL	Northamptonshire	/customerneeds/sendenquiry/sendtoone/100008071299000040?searchedLocation=United Kingdom
Big Taste Ltd	0191 406 8168	Downing Plaza, 	Newcastle-Upon-Tyne	NE4 5TN	Gwynedd	#
Piccolo Mondo (Renfrew)	01332 415831	65 Normanton Rd, 	Derby	DE1 2GH	Mid Glamorgan	#
Raj Pavilion Tandoori Restaurant	0141 885 1011	63 Hairst Street, 	Renfrew	PA4 8QU		#
The Red Lion	01482 581939	Halifax House, 30-34 George Street, 	Hull	HU1 3AJ		#
Harbour Fish Bar	01536 218411	7 High Street, 	Kettering	NN14 1NF		None
New Ystrad Fish Bar	01341 280189	Church St, 	Barmouth	LL42 1EH		None
Blacksmiths Arms Hotel	01242 529275	5-7 Winchcombe St, 	Cheltenham	GL52 2LZ	Gloucestershire	#
Fox & Hounds	0169 77 3452	Talkin, 	Brampton	CA8 1LE	Cumbria	#
Trattoria San Marco	01252 419428	71 Crookham Road, 	Fleet	GU51 5NP	Hampshire	/customerneeds/sendenquiry/sendtoone/100007767582000010?searchedLocation=United Kingdom
The Tigers Eye (Gloucester) Ltd,	01772 283620	Liverpool Old Road, 	Preston	PR4 4RJ	Gloucestershire	/customerneeds/sendenquiry/sendtoone/100008676065000020?searchedLocation=United Kingdom
Bojangles Bar Diner	020 7706 7900	28 Sussex Place, 	London	W2 2TH	Essex	/customerneeds/sendenquiry/sendtoone/100040405268000070?searchedLocation=United Kingdom
The TSE House	01452 332993	9a, Southgate St, 	Gloucester	GL1 1TG	Lincolnshire	/customerneeds/sendenquiry/sendtoone/100008950194000020?searchedLocation=United Kingdom
Mandarin Court Restaurant	01702 391961	36-38, Station Rd, 	Westcliff-On-Sea	SS0 7RA	Kent	/customerneeds/sendenquiry/sendtoone/100006517591000050?searchedLocation=United Kingdom
The Bowl Full	01209 713488	39 Commercial Street, 	Camborne	TR14 8JX	Kent	/customerneeds/sendenquiry/sendtoone/100007153987000010?searchedLocation=United Kingdom
Al Forno Mediterranean Restaurant	01635 874 019	10-11 The Broadway Courtyard, 	Thatcham	RG19 3JA	Midlothian	#
La Cuina	01522 304048	185 West Parade, 	Lincoln	LN1 1QS		#
Sans Pareil Enterprises Ltd	028 3025 7687	3 Francis Street, 	Newry	BT35 8BQ		#
Gurkha Palace Nepalese Restaurant	029 2167 7841	11 Kings Road, 	Cardiff	CF11 9BZ		/customerneeds/sendenquiry/sendtoone/100007351724000010?searchedLocation=United Kingdom
21212	01634 563335	245 Frindsbury Hill, 	Rochester	ME2 4JS		None
Shawarma Ltd	01224 693328	Unit 5 Cornhill Shopping Arcade, 	Aberdeen	AB16 5UT	Devon	#
Lamb Inn	01392 342891	47 Fore St, 	Exeter	EX5 4HZ	Cornwall	#
Ocean And Earth Thai Restaurant	01865 597340	Higher Market Street, 	East Looe	PL13 1BS	Gwynedd	#
Bryntirion Inn	01678 530205	Bryntirion Inn, 	Bala	LL23 7RA	Staffordshire	http://www.bryntirioninn.co.uk
Kismet Indian Restaurant	01782 818278	1A Queen Street, 	Stoke-On-Trent	ST6 3EL	Stirlingshire	#
Jute Cafe Bar	01382 237892	Dundee Contemporary Arts, 152-156, Nethergate, 	Dundee	DD1 4DY	Buckinghamshire	#
Gabe's Diner	07513 742211	Forthside Way, 	Stirling	FK8 1QZ	Cumbria	#
The Harrow Pub	01494 564105	62 Warrendene Rd, 	High Wycombe	HP14 4LX	Dyfed	#
Shanghai Shanghai Oriental Buffet	01228 548403	Unit 11, Portland Centre, Botchergate, 	Carlisle	CA1 1RP	East Lothian	http://www.thesoulvillesteakhouse.com
Happy City	01239 612273	49 Pendre, 	Cardigan	SA43 1JS	Berkshire	http://www.ogradysirishbar.com
The Chelsea Cafe	01792 346029	St Marys Street, 	Swansea	SA1 3LH		#
Soulville Steakhouse	0115 941 2014	3 Queen Street, 	Nottingham	NG1 2BL		None
The Shapla Indian Restaurant	01368 860500	140 High St, 	Dunbar	EH42 1JJ		None
Sultan Balti House	020 8599 0008	699 High Road, 	Ilford	IG3 8RH		None
Sans Pareil Enterprises Ltd	01634 563335	245 Frindsbury Hill, 	Rochester	ME2 4JS	Kent	#
Pizza Roma	020 7373 3030	306 Earls Court Rd, 	London	SW5 9BA	South Yorkshire	#
Royal Oak	07710 044004	85 Chesterfield Rd, 	Sheffield	S8 0RN	Essex	#
Pinchos Spanish Tapas Restaurant	01554 706885	13 Cowell Street, 	Llanelli	SA15 1UU	Derbyshire	#
Big Taste Ltd	028 7776 7770	17 Main Street, 	Limavady	BT49 0EP	Oxfordshire	/customerneeds/sendenquiry/sendtoone/100008231167000010?searchedLocation=United Kingdom
Cockadoo	01886 821353	Broadwas, 	Worcester	WR6 5NE	West Glamorgan	http://www.cockadoo.co.uk
La Fina	01245 268268	3a, Baddow Rd, 	Chelmsford	CM2 0BX	Tyne and Wear	#
Santa Maria's	01332 415831	65 Normanton Rd, 	Derby	DE1 2GH	County Tyrone	/customerneeds/sendenquiry/sendtoone/100007960422000060?searchedLocation=United Kingdom
Raj Pavilion Tandoori Restaurant	01865 597517	 	Oxford	OX44 9NX	Norfolk	#
The Orange Tree Hotel	01792 349281	32-33, The Kingsway, 	Swansea	SA1 5LE		None
The Gables	0191 528 0119	15 William Doxford Centre, 	Sunderland	SR3 2NE		None
Kellys Plaice	01482 581939	Halifax House, 30-34 George Street, 	Hull	HU1 3AJ		None
Wildfire Restaurant & Grill	0131 225 3636	192 Rose St, 	Edinburgh	EH2 4AZ	Midlothian	#
The Castle Club	01307 496197	100-108, Castle St, 	Forfar	DD8 3HR	Angus	#
Santa Maria's	0191 528 0119	15 William Doxford Centre, 	Sunderland	SR3 2NE	Tyne and Wear	#
Royal Oak	020 8599 0008	699 High Road, 	Ilford	IG3 8RH	Hertfordshire	#
The Lemon Tree	01886 821353	Broadwas, 	Worcester	WR6 5NE	Mid Glamorgan	http://www.lemontree.co.uk
Cymmer Fish Bar	01279 215029	14-16, Water Lane, 	Bishop's Stortford	CM23 2JZ	Gwynedd	/customerneeds/sendenquiry/sendtoone/100008050719000010?searchedLocation=United Kingdom
The Fishermans Wife	01443 682392	44 High St, 	Porth	CF39 9AP	County Tyrone	http://www.thenewmediterraneanrestaurant.co.uk
The New Mediterranean Restaurant	0113 224 9539	The Office, Westfield Farm, 	York	YO26 9SA	Gwent	http://www.la-lupa-3.co.uk
La Lupa 3 Ltd	01492 860670	153 Mostyn Street, 	Llandudno	LL30 2PE	Somerset	http://www.thehardwick.co.uk/
The Gables	01202 906673	Yeatmans Old Mill, The Quay, 	Poole	BH15 1HJ	Northamptonshire	https://excaliburcafe.net/
The Hardwick	028 8776 7888	40 Cookstown Rd, 	Dungannon	BT71 4BQ	Kent	http://www.follyinntowcester.co.uk
La Tavernetta Restaurant	028 8776 1005	Old Raglan Rd, 	Abergavenny	NP7 9AA		#
Legacy African Restaurant & Bar Ltd	020 3583 0058	53 Camberwell Rd, 	London	SE5 0EZ	Surrey	/customerneeds/sendenquiry/sendtoone/100008173489000010?searchedLocation=United Kingdom
La Barbe	01737 302209	71a Bell St, 	Reigate	RH2 7AN	Worcestershire	/customerneeds/sendenquiry/sendtoone/100008173489000010?searchedLocation=United Kingdom
The Paget	01509 272 123	41 Oxford Street, 	Loughborough	LE11 5DP	Kent	/customerneeds/sendenquiry/sendtoone/100008475478000020?searchedLocation=United Kingdom
The Swan	01562 700229	9 Birmingham Rd, 	Kidderminster	DY10 3JD	Oxfordshire	/customerneeds/sendenquiry/sendtoone/100008603480000020?searchedLocation=United Kingdom
Sans Pareil Enterprises Ltd	01634 712349	245 Frindsbury Hill, 	Rochester	ME2 4JS	Merseyside	#
Bear & Ragged Staff	01865 596999	Appleton Rd, 	Oxford	OX2 9QH	West Glamorgan	#
Pizza Roma	028 7776 7770	17 Main Street, 	Limavady	BT49 0EP	Cambridgeshire	#
The Wheatsheaf Inn	01554 706885	13 Cowell Street, 	Llanelli	SA15 1UU		#
The Orange Tree Hotel	028 2564 7831	6 Crebilly Road, 	Ballymena	BT42 4AD		http://www.lafina.co.uk
La Fina	0151 336 3416	The Green Raby Mere Rd, 	Wirral	CH63 4JH		#
Shawarma Ltd	01524 235212	9 Fairbank, 	Carnforth	LA6 2BD		#
BJ's Plaice	01792 349281	32-33, The Kingsway, 	Swansea	SA1 5LE		None
Dundee Repertory Theatre	01224 693328	Unit 5 Cornhill Shopping Arcade, 	Aberdeen	AB16 5UT		None
Winley's	0116 216 5424	The Nook, 	Leicester	LE9 1RQ	Leicestershire	http://www.thebullshead-cosby.co.uk
Big Taste Ltd	020 8466 8008	28 Homesdale Rd, 	Bromley	BR2 9LD	Kent	http://www.thebullshead-cosby.co.uk
Shawarma Ltd	028 2564 7831	6 Crebilly Road, 	Ballymena	BT42 4AD	Derbyshire	#
The Red Lion	01332 415831	65 Normanton Rd, 	Derby	DE1 2GH	Oxfordshire	#
The Hardwick	01865 770253	202a Garsington Rd, 	Oxford	OX4 6NQ	Northamptonshire	#
Donaghy's Real Fish & Chips	01224 693328	Unit 5 Cornhill Shopping Arcade, 	Aberdeen	AB16 5UT	Gwent	#
Bryntirion Inn	01536 218411	7 High Street, 	Kettering	NN14 1NF	County Londonderry	#
New Ystrad Fish Bar	01873 770587	Old Raglan Rd, 	Abergavenny	NP7 9AA	Tyne and Wear	http://www.bryntirioninn.co.uk
Canton Chef	028 7134 9347	50 Clooney Terrace, 	Londonderry	BT47 6AP	Gwynedd	#
Papadam Bromley	0191 406 6951	275 High St, 	Gateshead	NE8 1EP	Mid Glamorgan	/customerneeds/sendenquiry/sendtoone/100008750298000010?searchedLocation=United Kingdom
The Paget	01678556169	Bryntirion Inn, 	Bala	LL23 7RA	West Yorkshire	/customerneeds/sendenquiry/sendtoone/100008475478000020?searchedLocation=United Kingdom
The Bowl Full	01522 304048	185 West Parade, 	Lincoln	LN1 1QS	Lincolnshire	#
Volunteer Inn	01249 471380	 	Chippenham	SN15 5EL	Wiltshire	#
La Cuina	029 2167 7841	11 Kings Road, 	Cardiff	CF11 9BZ	Gloucestershire	/customerneeds/sendenquiry/sendtoone/100007771523000010?searchedLocation=United Kingdom
The Aviator Restaurant	01452 714442	Gloucestershire Airport, 	Cheltenham	GL51 6SP	Kent	http://www.theaviatorglos.co.uk/
Gurkha Palace Nepalese Restaurant	01303 763212	97 Enbrook Valley, 	Folkestone	CT20 3NE	Midlothian	/customerneeds/sendenquiry/sendtoone/100007351724000010?searchedLocation=United Kingdom
21212	0845 2221212	3 Royal Terrace, 	Edinburgh	EH7 5AB	Leicestershire	#
Winley's	020 7373 3030	306 Earls Court Rd, 	London	SW5 9BA	Gloucestershire	#
Lock & Key Restaurant	0116 216 5424	The Nook, 	Leicester	LE9 1RQ	Angus	http://revivalcafebarandgrill.co.uk
The Castle Club	0191 406 8168	Downing Plaza, 	Newcastle-Upon-Tyne	NE4 5TN	Oxfordshire	http://www.thecastleclub.co.uk/
Santa Maria's	01242 529275	5-7 Winchcombe St, 	Cheltenham	GL52 2LZ	Tyne and Wear	#
Raj Pavilion Tandoori Restaurant	01307 496197	100-108, Castle St, 	Forfar	DD8 3HR		#
Tom Browns Restaurant	0115 822 6064	The Old School House, Trentside, 	Nottingham	NG14 7FB	Nottinghamshire	#
Thai Kitchen	01792 343707	87 High St, 	Swansea	SA4 4BL	West Glamorgan	#
Art Anna Pola - The Terrace Arts Cafe	01297 20225	6 Marine Crescent, 	Seaton	EX12 2QN	Devon	/customerneeds/sendenquiry/sendtoone/100007526483000010?searchedLocation=United Kingdom
Mamma Roma	0131 603 1513	4-6, Antigua St, 	Edinburgh	EH1 3NH	Midlothian	/customerneeds/sendenquiry/sendtoone/100007348843000030?searchedLocation=United Kingdom
The Fishermans Wife	01455 234455	8 Holliers Walk, 	Hinckley	LE10 1QW	Kent	http://everestdine.com/?utm_source=yell&utm_medium=referral&utm_campaign=yell
Atlantic Broadway Fish Bar	020 8466 8008	28 Homesdale Rd, 	Bromley	BR2 9LD	Avon	http://www.brassett-churrascaria.co.uk/
Trattoria San Marco	020 8599 0008	699 High Road, 	Ilford	IG3 8RH	Cambridgeshire	http://www.ogradysirishbar.com
The Hardwick	0113 224 9539	The Office, Westfield Farm, 	York	YO26 9SA	Gwent	http://www.thefishermanswife.co.uk
Forte's Restaurant	01934 629667	Broadway, 	Weston-super-Mare	BS24 9HA		http://www.atlanticfishbar.com/
Rajas Indian Restaurant	01772 283620	Liverpool Old Road, 	Preston	PR4 4RJ		http://www.sanmarcopreston.com/
Bear & Ragged Staff	01865 590374	Appleton Rd, 	Oxford	OX2 9QH	Oxfordshire	http://www.bearandraggedstaff.com
Fullam Restaurant	020 8599 0008	699 High Road, 	Ilford	IG3 8RH	Kent	http://www.bearandraggedstaff.com
Cymmer Fish Bar	020 8466 8008	28 Homesdale Rd, 	Bromley	BR2 9LD	Mid Glamorgan	#
Harbour Fish Bar	01271 328882	18 Tuly Street, 	Barnstaple	EX31 1DH	Gwynedd	http://www.fullamrestaurant.com
Cafe Masala	01443 682392	44 High St, 	Porth	CF39 9AP	Oxfordshire	#
The Hardwick	01341 280189	Church St, 	Barmouth	LL42 1EH	Cambridgeshire	#
Forte's Restaurant	01865 770253	202a Garsington Rd, 	Oxford	OX4 6NQ	Somerset	#
Legacy African Restaurant & Bar Ltd	01480 716265	16 Cross Keys Mews, Market Square, 	St. Neots	PE19 2AR	Essex	#
